,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
575,0.18773245486745035,-1.0874188883335991,-0.9332272848792997,-0.6979032441256199,-0.3426419390413354,0.20111808611046622,-0.012948893212831002,0.06517307399380132,-0.0020215674629342063,1,0,0,0,0,0,0
1428,-0.732866421358653,-0.08412375444400111,-0.21678381454487308,-0.18461744333312424,-0.2691733340923769,-0.15440329087297025,-0.06738131479196437,-0.06724630537082514,0.0018003087813459864,0,0,1,1,0,0,0
1386,0.8600417789583197,1.2952594804625768,0.2121463576689695,-0.4831791326683937,-0.3122841441307416,0.8270454458090792,-0.1196343048150561,0.09344103213066085,-0.0021572520789641734,0,0,1,0,1,1,1
1967,1.4938518710516628,-0.33828451412458604,0.14085849652130067,0.8500564794140157,-0.42511306420776135,1.1682159538065093,-0.08329122254865849,-0.10032771389850582,0.009082529012498045,0,0,0,0,0,0,0
2243,0.7151163336901957,-1.5810156495883054,0.7486933495476144,-0.21741831055286745,-0.09480735736004155,-0.5975107738984154,0.016118989408887757,-0.04277854064598392,-0.0037096498128181736,1,0,0,1,0,0,0
1196,-0.1875967190080344,-0.8022062859148549,-1.3205093062971078,0.5038320771679703,-0.19464802644598975,-0.3374174846361689,-0.06111616321403705,-0.06419704479240167,0.0004920970128482087,0,0,0,1,0,0,0
419,2.0734872825283617,0.39761407152732975,0.09955554137254545,-0.20636199504763628,-0.43542335497858253,0.4064664164151082,-0.07132051921189893,-0.016179446196504584,-0.0017126648683488458,0,0,1,1,1,1,1
1826,-0.4782652018845724,-0.8006784403970897,-0.5230554224383607,-0.21930041505760692,1.186633402223108,0.5181122560229244,-0.06009037157801407,-0.08800814595310844,-0.003905006600314906,0,0,0,0,0,0,0
1260,-0.2914827950501487,-0.7607820976067556,-0.6425010197425683,-0.19515071630631506,1.1511907553613374,0.4835542082565544,-0.07985361439372235,0.11663192039975112,0.006005116262017783,1,0,0,0,0,0,0
3072,-0.32033714087851833,1.2934671923393877,-0.5181215018015497,1.0111764533530272,0.9527149454523606,-0.4766279538933973,-0.06938669781463637,0.09275721629114547,-0.0005843319066778234,1,0,1,1,1,1,1
1642,1.5085217358684229,0.7177450974522588,-0.8248377102069827,-0.9471740051248598,-0.21121650749842183,0.04848373242194081,-0.01080510098570738,0.039026083366763914,-0.0004267521988018222,1,0,1,1,1,0,1
3189,-0.3792843317576287,-0.3191583187746832,-0.6374969492348078,0.0046786199363617635,0.0990215177222653,-0.0661862027614629,0.08822647004054522,0.025332634388628022,0.0005391971608107753,1,0,0,0,0,0,0
928,0.6066060445528777,1.4701947804704465,-0.2836387555744207,-0.27597470483602027,0.28678500226524273,-0.18157403646975842,-0.10802924810808474,0.09208362313787308,0.00046964648882131843,0,0,1,1,1,1,1
610,0.2802425912649243,0.5645029789611068,-0.8882866185800327,0.4882237248885947,0.9671158337094841,-0.12633585748196594,-0.123304334929965,0.11234483702014796,-0.0008854152805954341,0,0,0,0,1,0,1
1575,-0.6626463497860597,0.6568200989302121,0.02236479748210198,-0.11766532801324134,-0.20558511120667997,-0.2780591542197741,0.044988314147719435,-0.050075282521255496,0.0021752234341580203,0,0,1,1,1,1,1
185,1.0416688448246956,-1.8076950765021464,0.35688717891341015,-0.03030018618830583,0.2752824226670976,-0.5149043766207125,0.0024973247964708745,0.010562720367664376,0.0009631313291077,0,0,0,0,0,0,0
2782,1.4060268299734338,0.9889038221631248,0.46379667785577294,0.2993630051218701,-0.4508950725012077,0.08740392113705445,-0.013622527286464138,-0.013848999871787955,1.8280696085115287e-05,0,0,1,1,1,1,1
449,0.11626323041790858,-0.45008433904550144,-0.06703224170506954,1.6230139307806268,0.6127218895175829,0.1309812719216636,-0.08755138608813835,-0.028667619518242118,-0.002939315557496143,0,0,0,0,0,0,0
1198,-0.9114529881713687,0.05375958013497026,-0.38817247633188434,0.33031459164949156,-0.42536488596997524,-0.4683950742364276,-0.056559211881099886,-0.10117867817718713,0.0008050295482165544,0,0,1,1,0,0,0
1356,-0.6002830796137726,0.07297522196376768,0.42582482812857825,-0.20231512634892365,-0.3477393253547919,0.9213000106500505,0.1963777678357355,-0.0070731331135190575,0.00036966127302597853,0,0,0,0,0,0,0
399,0.4658778349940816,-0.9567499648482591,-0.6651336208501284,0.6179726930674889,-0.5951484392838219,-0.8950376239859783,0.0045823776369272725,0.08259798878195561,-0.00014968136229614304,0,0,1,1,0,0,0
3168,-0.3643061050241151,-0.7018921852420303,-0.5681507071882104,-0.1994780933856047,1.174587783311261,0.48789338621966766,-0.024467581698703812,-0.020928828856984764,0.00033978676985881837,1,0,0,0,0,0,0
1781,-0.05980700034358315,-0.8847661785030079,-1.395896637528429,0.3387757358046567,-0.6772862544412193,-0.4160399832948597,0.3281716868378786,0.18941871441528985,-0.001489444690533728,0,0,1,1,0,0,0
2995,1.4497532812775347,-0.4455176727718471,-0.140479822952073,0.18920255314612702,-0.6030093563173438,0.3153947365612258,0.06849575744372005,0.14488070928087388,0.010092176560219322,1,0,1,1,0,0,0
411,2.16132388576138,0.3361755837912254,0.011083811486548039,-0.20061767227873428,-0.46052665419728156,0.4033649582406426,-0.06440849916057272,0.14180040907475597,-0.0016637908070919459,0,0,1,1,1,1,1
2878,1.2683298092325723,-0.43970667728710655,-0.3956957457424668,-0.13265028571756968,0.16802926908505036,-0.3643693728834736,-0.04491867826651067,0.06817642784135139,-0.001813106947307141,0,0,0,1,0,0,0
3264,-0.6428244939160443,-0.12402546921543779,-0.663555315716419,0.34056913382940585,-0.4879693986824755,-0.4639003389092851,0.18613526480305254,-0.128553246287465,6.029843027611087e-07,0,0,1,1,0,0,0
2071,-1.2879158939201347,-0.048182569344342,-0.15674799289257638,0.28762401714254787,-0.3616761455386008,-0.3974537632525892,0.03692364159914383,0.0036257986551480018,-0.0013598444347866008,1,0,1,1,1,1,1
680,-1.0759870159568463,-0.8160890791574242,-0.2570701720989109,-0.2747712610877705,-0.27772352290043445,0.00939045127687047,-0.0555291783519265,0.06505174502781223,-0.0006686158230170655,0,0,0,0,0,0,0
865,-0.09779167675868737,0.09786402775503075,-0.7990884475879497,0.4124961666893651,0.9960280775436752,0.0029592869334874898,-0.08588446431187244,-0.00418444152706707,-0.000377674274567113,0,0,0,0,0,0,0
444,0.02960392204183503,0.40689835025600474,0.9090410297791669,-0.3580246820690004,0.037507177030921275,-0.42340334872170154,-0.05029758055273723,-0.10898494100554817,-0.0018071771761832855,0,0,1,1,1,1,1
211,0.11031710864551847,-1.1835571160494738,1.4117785060594934,-0.41684091595320594,-0.394380911092857,-0.670408739334472,0.02558582550171126,-0.07725140376532767,0.00819845594007928,0,0,1,1,0,0,0
569,-1.4461085331858137,-0.5612115040604773,0.11455665672826636,-0.29170402387719185,-0.17874346079183961,0.019301543910929114,-0.0663588578598622,-0.09660804469161109,-0.0008408569341008336,0,0,0,0,0,0,0
1243,0.022051481813156,1.2051055512284374,0.03501439171093096,-0.3537702124607081,0.37593750321225666,-0.05537059508526708,-0.023923635701767927,0.060676176711075766,0.0015657733124692997,0,0,1,0,1,1,1
780,-0.43991200682296727,-0.6006173859197295,-0.27956697705692685,-0.7204254138502797,-0.17206293503116246,0.20593258974578682,-0.07540125375593744,-0.09830876265293519,0.0011724546499698866,0,0,0,0,0,0,0
779,-1.1985574115638968,-0.07906621304545236,0.4802128844281397,-0.7481285591409726,0.02627401756304994,0.2255917370906421,-0.02316325290826323,0.046615850969905934,-0.0006158508528846542,0,0,0,0,0,0,0
2076,0.5582683415206854,-1.467828989658763,0.7167903427739705,0.299576835649148,1.3163902204875144,-0.32135922908622233,0.021147683287841917,0.07778390447293965,-0.0011572147377094174,1,0,0,0,0,0,0
1744,-0.12219678577189867,0.22733074122189226,-0.5399234422041805,-0.10082420742888364,-0.3556384020777592,-0.28623430616229456,-0.042285553639211014,-0.03951883015402673,-0.00048299665960848125,1,0,1,1,1,1,0
144,0.9950252436585882,-1.7783647832239475,0.46577054238922777,-0.2067711367445702,-0.1686509380515651,-0.6034279490153929,0.01876031215689772,-0.03907121162159065,0.0010877373965388149,0,0,0,1,0,0,0
898,0.04590392555462654,0.584972424013303,-0.17008287146750045,-0.575231144678354,-0.14420035907402928,-0.04294603970360353,0.1260525373750693,0.09872833632807244,-0.0003713056489758929,0,0,1,1,1,1,1
1429,-0.1906653313735655,-0.029595637390126214,0.03310801814884559,0.0035073858227917054,0.010286939001956796,0.9579353206175545,-0.11568587883254848,0.05739943049376761,0.00030570243273717615,0,0,0,0,0,0,0
2033,-0.05459515153425531,0.8530727339745213,1.1219829807350716,0.6716590497391112,-0.38949845992886173,-0.012389651277415845,-0.05090885068323891,0.052025601156381794,-0.0015917978238994043,0,0,1,1,1,1,1
1150,-1.7907924639547077,0.2963752089674135,0.344590818918866,0.2691642686641525,-0.22894074835715714,-0.3817100585583572,0.12427795991640289,0.1059096844742509,-0.0006833816609864077,1,0,1,1,1,1,1
1282,-0.5896165134439031,0.11938878499007666,-0.07706772651414974,-0.15288263671696573,1.2992097483378207,0.38497567874924193,-0.02704401051165075,0.06394601574404847,-0.0009878375104815972,0,0,0,0,0,0,0
1206,-0.08024468799120428,0.8021845768591876,-0.3426066927172164,-0.04847619271345953,-0.30713600463536966,-0.38476940185358477,-0.02427049582616766,0.07085777636267171,0.0007485989593673413,1,0,1,1,1,1,1
1172,-0.47419858570324624,-0.2562194980152263,-0.4755808667864864,-0.17471160799816093,-0.3347034686044374,-0.15925525434341228,-0.027201084886303486,-0.1100444466698419,-0.0014830128380294222,1,0,1,1,0,0,0
258,0.2222775311250489,-0.289516575552117,1.9791228687928202,-0.6791876475097866,0.33307187206583877,-0.4247819141322358,-0.014662097822515397,0.04731218037475522,-0.003914810838868992,0,0,0,1,0,0,0
393,-0.07251817732773205,0.3178637602969915,0.9222634138023686,0.6247809644967864,-0.438182548424278,0.07735485962220592,-0.051660627440545406,-0.05879576317287961,0.001264680880451896,1,0,1,1,1,1,1
960,0.5682246834821495,0.6797176772237611,-1.2242319290904629,0.5199283721793533,-0.6439311456051351,-0.7631144755814862,0.048696953988739675,-0.2241505783868744,-5.242419547061615e-05,0,0,1,1,1,1,1
877,0.8024820285425206,-0.3694736613795862,-0.7421474231954359,-1.1035379432386399,-0.182263026607985,0.3211880323413677,0.018093037651673693,-0.011928772932364981,-0.0027782782446288522,1,0,0,0,0,0,0
947,0.791235267947676,-0.04683105494007621,-0.9627705451348179,-0.5566644279639534,-0.3527678194598059,-0.04509479405788668,0.044583077118799753,0.022294759126693833,-0.0010832395877718843,0,0,1,1,0,0,0
1944,-0.7123895325668391,0.6360255383603886,0.04878297906188357,-0.12488025189850768,-0.19618303227512934,-0.26537330948919174,0.08932289362746304,-0.09702006804397653,-0.0015357133662564169,1,0,1,1,1,1,1
1950,0.7838574646076945,0.6893719936818511,0.7986604295872324,0.21501069910820683,-0.3596061655206237,0.22098946791404742,9.83695278275681e-05,-0.06554460958047624,-0.00027398159834209616,0,0,1,1,1,1,1
2501,0.8196146011032234,0.5262070776824033,1.4471574364275646,0.1371614478378386,0.5522696876737154,-0.862173916231314,-0.02946692781025752,-0.06483334827137958,-0.0003888056838983459,0,0,1,1,1,1,1
3087,0.09911239931817532,-0.6257029622294439,-1.594334325187878,0.8947711696642854,0.6852021670029292,-0.21336246347162682,0.14429267930234946,0.09554869188314724,0.0003518781567846149,0,0,0,0,0,0,0
1387,-1.0840331893163233,0.9604555837998954,0.09854189284619931,0.3888892185431051,-0.30254964490373765,-0.5925253853425088,-0.06528224743484128,-0.015720338638912496,-0.0009800787926034118,0,0,1,1,1,1,1
820,-0.2924631905173544,-0.5821077938030914,-0.960178456874032,1.3356421578322841,0.48664232922418404,0.6226020197475823,0.10758428435920604,-0.11728135467134763,-0.0027481672939843847,1,0,0,0,0,0,0
1115,0.013500863425248918,1.2079025479317302,0.10647543152381987,-0.5276921425729741,-0.07959020043535434,-0.14652146328323445,-0.03045049627402764,0.0796618007173632,0.0011639673695215075,1,0,1,1,1,1,1
1998,0.029773894557219356,0.2561850382923531,0.633545086756419,1.151732779163608,0.904351577986023,0.34421942366342834,-0.10417460288020816,0.022427390310872517,0.0008689230748991858,0,0,0,0,1,1,0
1691,-0.6862654824413076,0.6737182859001521,0.04926268304198678,-0.11901946269531612,-0.20115420103431852,-0.28143276481938745,-0.041451069729194545,-0.09221482937039241,0.0003556520944518774,1,0,1,1,1,1,1
1458,-1.634287934865279,0.06709276944727016,0.14529116974791378,0.26385137441570744,-0.2854961572483134,-0.3736204334756121,-0.057489684084208056,-0.01981508882255358,-0.002133558317088322,0,0,1,1,0,1,1
2714,0.03826114705970249,-0.7580474603795225,0.38742275149101146,1.5480230706166545,-1.0538424745997006,0.7090537889058097,-0.03643566176485429,0.018520677891223938,-0.0013477502060119562,0,0,1,1,0,0,0
1971,0.9727585677727894,0.15530077060124511,0.08599319672519076,0.7096578450840251,-0.6491778320110493,-0.02586394084469955,0.17917342162903668,-0.12167408937737573,-0.0012756350659913892,0,0,1,1,0,0,0
920,-1.301881474664837,-0.04156947963923699,-0.14406713280865052,0.28648318821258184,-0.3579213120765509,-0.396275576889574,0.03983906877766348,-0.019091331184090888,0.0013614576039879022,1,0,1,1,0,0,1
1176,-0.9564918459153974,-0.30720713076487766,0.21122059049383715,-0.7440258219301519,-0.041879950882341636,0.23197654795021283,0.020211126887911098,0.02610436470917553,0.0018075130131355618,0,0,0,0,0,0,0
1903,-0.4348915819309215,-0.6660737346994486,-0.37465685287988826,-0.5513457912508865,0.2783938716829811,0.30924145119609625,-0.028487355573972962,-0.07371543661451219,0.005793658228232602,0,0,0,0,0,0,0
1874,-0.7327774244426667,-0.0818047546957827,-0.21803469247603993,-0.18456241181437422,-0.26725932330646424,-0.15182872784490933,-0.007318582779838145,-0.06936936292652862,0.000850928559026458,0,0,1,1,0,0,0
311,0.2709800831201033,0.36041598242689976,1.0448424920578825,0.141232026792412,-0.2965594101258894,0.33957398972146147,-0.05717759113134391,0.043640802802341054,0.009843676518810998,1,0,1,1,1,1,1
1956,0.48937663549303995,-1.1978201961313362,-0.5126518801203983,1.2518994312481522,-0.4466818892293224,0.022965162481713878,0.025753306223448975,0.07881041117514515,-0.0007047027219212598,0,0,1,1,0,0,0
1530,-0.9947497758158952,-0.16220330231900307,0.6415693643646999,-1.2571089038510885,0.19385090306143177,0.546118633826877,0.34689531505248555,0.06725543561770243,-0.002560466030892535,0,0,0,0,0,0,0
430,1.6019227197006998,0.13156368815956232,-0.0835070480768727,0.4200809809143616,-0.11629915109686395,0.291095300454705,-0.026557496328723278,-0.13970969983336398,0.0004223016470720809,0,0,0,0,0,0,0
1313,-0.4891989039693731,-0.8263994177007837,-0.33323285055542573,-0.7417808125852193,-0.1865184053577046,0.2482963091127621,-0.06889621148338083,0.013697215790101313,0.015133477582364368,0,0,0,0,0,0,0
281,-0.12184876472260012,-0.8115386448640229,0.8647836020296273,0.007149450464038928,-0.3358835302547927,0.5842862735669669,-0.021957100203959485,-0.048535342807169445,0.0005553064571846948,0,0,0,0,0,0,0
2072,0.6304598100505607,0.7932163833321716,-0.6970465641536374,0.018392597999870787,1.1280207833101559,0.10633080202464172,-0.12624958723105562,0.07964066069560378,0.001028329663690128,1,0,0,0,1,1,1
586,-0.3668022624789842,-0.33164111013442976,-0.6480725579616443,0.005426648073764075,0.09226504052965154,-0.07092269721215458,-0.010192284552114385,0.05141553562971353,0.001958118854776077,1,0,0,0,0,0,0
647,-0.27332819018482774,0.8033102027796125,0.1523952191176521,-0.5887639074859257,-0.061848519557539644,-0.038165180756238565,0.04829867963531439,0.02985394002450637,-0.0009676124795293054,1,0,1,1,1,1,1
1876,0.010310001003256518,0.6671639454214726,-0.10589813433235602,-0.5732576160003793,-0.13219679900272926,-0.058456824029571676,-0.03862462796987431,-0.00827735421792915,-0.00014539867395068132,1,0,1,1,1,1,1
1134,-0.07391635278893244,1.2721181265120247,0.1937129322826582,-0.5333075388877578,-0.052652977621229724,-0.14107231244854024,0.020512726207379393,-0.0803612999391145,-0.0004537100655422878,0,0,1,1,1,1,1
2027,-0.2201185106972385,-0.9390669931772517,0.8830669137781693,-0.013105893747125133,-0.3270952043137691,0.6223045971024473,0.0579051806400515,-0.07456131032229557,0.013299664327365145,1,0,0,0,0,0,0
1622,-0.8946790336649924,-0.9345674116510869,-0.4423272750033455,-0.27019116621003303,-0.3178599736460269,0.013214218753556575,0.09818058003598283,-0.11739686729081018,-0.0014746873225445776,0,0,0,0,0,0,0
1132,0.42202270960821914,0.4059811981458471,-1.0557437594822692,0.4857719772505423,0.9269803267330827,-0.11735564159233737,-0.10875934097179003,-0.08797426561875343,0.0015575898188721537,0,0,0,0,1,0,1
2800,-0.07106545240587782,-1.176576122459705,0.35293320151179775,-0.49493831768679114,-0.10235833852677738,-0.15408890944279463,-0.026639096037484083,-0.0167405401619613,0.012566348161042816,1,0,0,0,0,0,0
1447,-0.968224095441476,1.2317282034702952,0.47366634902556853,-0.09742378609384655,-0.0907883335652606,-0.33020092915469507,0.06314555272548805,0.12357510456904883,-0.0006764255286770006,0,0,1,1,1,1,1
1604,0.6175428135411162,1.2090089159668702,-0.04193703601142904,-0.8187988631305847,0.4669252842138921,0.18013577680830023,-0.03561713524204389,0.00932743538449413,0.0002858211232825481,1,0,1,0,1,1,1
642,-1.2880296712662296,-0.04779920299832024,-0.15706311829057548,0.2876072268874943,-0.36117152889932524,-0.39672605663440424,0.05262501358814923,0.0030697740930339143,-0.001339390609536537,0,0,1,1,1,1,1
2712,1.6436552259033919,0.2269479444006535,-0.07461134601612254,0.4315709761749617,-0.11573946794707708,0.26811193363601943,-0.07040227839101473,-0.16038515047628837,-0.002607662046912774,0,0,0,0,1,1,0
220,0.7737708386854208,0.5568361359376997,1.5559725982343364,-0.039127574921442775,0.10830974571523695,-0.9510189040647401,-0.013257193784600912,-0.11445942726196891,-0.0018313934482789666,0,0,1,1,1,1,1
164,0.5326650326979177,-1.4534112774977868,0.7434335146676585,0.29778325029461505,1.3215406670109542,-0.32304549982186453,-0.044679017846334504,0.0349007162203587,0.0006467446905013445,0,0,0,0,0,0,0
1256,-0.19112373347235287,-0.3347623641992149,-0.5472957810504966,-0.15405602032280577,1.1774983031942108,0.40355995435376407,-0.07157172946735184,-0.08560975596989129,-0.0010741397454685925,0,0,0,0,0,0,0
2059,0.09279763364633123,0.030280837005339536,0.6790113604337814,0.6156149066464539,-0.49151226041420604,0.11341381134270251,0.18009448622643393,-0.1315331442072635,-0.0003555342339952514,0,0,1,1,0,0,0
1111,-0.44448382367024,0.79053966176253,0.22518880266016286,1.3924100655577831,-1.005900599398006,0.925946812021427,-0.09848676534017464,0.04549262697938565,-0.002054127123782455,0,0,1,1,1,1,1
1073,0.33948498752082745,-0.3209387677466439,-1.2850592733295259,0.41812961577354957,0.8712663419487764,0.012500134520565016,-0.08752464007613187,-0.13247106796339247,-0.0010125091452486217,0,0,0,0,0,0,0
1870,-1.2481379193139484,-0.0668702190408842,-0.3815704898914436,0.8105040495226746,0.9976696551358566,-0.1299786640752329,-0.05537894265505991,-0.026759820846997556,-0.0017845313589033504,0,0,0,0,0,0,0
593,0.525985882541353,1.0646557133129084,0.33663158011306493,0.4631973838472835,-0.7536270487018392,1.3858341686121132,-0.07752218788026133,-0.03964805884556573,0.0009960538398236934,1,0,1,0,1,1,1
1345,0.3729151377064969,1.8711323910230058,0.7921848462900225,-0.48381766182675157,-0.15615470096272846,0.8067265543295814,0.006356523909719256,0.0368528745175895,0.00048237036127808924,0,0,1,0,1,1,1
808,-0.11001837069322186,0.27864032111434206,-0.5307505336026992,-0.09598817876642096,-0.35070964652767395,-0.29275494782861705,0.022433221440865077,-0.06423979718252008,0.0016059559745333365,1,0,1,1,1,1,0
2044,0.0027590024479347062,0.2652403997094737,0.8463991019741827,0.6297029966715241,-0.459649379792238,0.07476897882781157,-0.044171484230787816,0.07656013658301945,0.0013086110431490157,0,0,1,1,1,1,0
1411,-0.6824529521393617,-0.11552444957658815,-0.26927217605055526,-0.18123111473920236,-0.28057396180114513,-0.1522454185133901,0.029038488546264424,0.019759954551528604,0.00020173709886375245,1,0,1,1,0,0,0
1510,-0.5082190246797353,0.650986547928278,0.6151591184180919,-1.1446142439821962,0.1767974860325887,0.3409716909100596,0.17679116697150066,0.05413123886640958,-0.0018425995467404278,0,0,0,0,1,1,1
1655,0.7256548090568885,0.2567098742890966,-1.2138465641888878,0.15590740372046574,-0.057667339465207364,-0.3108498426546818,0.029161703710794868,-0.0287397104057943,-0.0003575863758381429,1,0,1,1,1,0,0
160,1.041600305463537,-1.8074641369931148,0.35669734768421535,-0.030310300621403087,0.2755864032332915,-0.5144660068710815,0.011955815808758744,0.010227771719415671,0.0009754526932808502,0,0,0,0,0,0,0
1275,0.2913072486066806,1.6913160512263627,-0.09173814990003948,0.05738450265731779,1.2843341741828393,0.006929401714398336,-0.1569067938226764,-0.03792957380470894,0.001668109041402009,0,0,0,0,1,1,1
883,-0.6426871569095101,-0.12645237088279657,-0.6620519105605097,0.34055797720549935,-0.4903100476958986,-0.4671365630461643,0.11292435189436728,-0.12596360078082966,0.0006759497170016194,1,0,1,1,0,0,0
2479,1.7039907011128077,-0.5550080840846512,0.10938645983623041,0.3984795285073658,-0.6197567010003127,-1.2603064652198708,0.04254458042797467,0.22356084367610626,-0.0012220581272032983,0,0,1,1,0,0,0
1146,-1.031373424760528,0.2622220282159976,-0.2828666865841224,0.5117749454237721,0.07482996112831221,-0.3936890041808403,-0.011200243492191553,0.055843296026647726,-0.0012172367109786226,1,0,1,1,1,1,0
1096,-0.1770596462234828,-0.1696726343853499,-0.3042959171362819,-0.6606285700734608,-0.17651540331446655,0.1063925081585294,0.03663863143405322,-0.10044547066756015,-0.0013914087405839054,1,0,0,0,0,0,0
874,-0.42980787716821145,0.29144957708714136,0.42447614678587847,-1.1677281360762848,0.11960512573017928,0.37596529246558846,-0.09966009801288317,-0.06878743622544733,-0.0032300236458694593,0,0,0,0,1,1,0
663,-0.20479205977583184,-0.228163767229308,0.053605294673907136,-1.1857995264269585,0.021925095018293737,0.42833042765447216,-0.0856114657374845,0.11426752585401043,-0.0025215606094722964,0,0,0,0,0,0,0
1056,-0.7665717842363464,0.4268219916334829,0.00974767748968122,-0.14538960202496284,-0.21138375655270894,-0.23119356373966204,-0.03342635531343802,-0.0029902095291421365,-0.0009280226069743427,1,0,1,1,1,1,1
2068,0.2587536555844577,0.9756478631786563,-0.13146112937310483,-0.6099185864592723,-0.3800326301843737,-0.19007692462735098,-0.07428001662476647,0.08292173014786404,0.0021495438916745084,0,0,1,1,1,1,1
2753,0.5359736474078127,0.8609661869520809,0.9865670805299005,0.37951349735337686,0.1602039781713552,0.31449689698627914,-0.07047470011223055,-0.04041000068490078,-0.0004905332392586185,0,0,1,0,1,1,1
1793,-1.574302560903475,0.15475600797726885,0.11751727495673786,0.2757611447398449,-0.2734169926865797,-0.36959702760732793,0.4796832032212894,-0.01587854138321056,0.0007942422008158315,0,0,1,1,0,1,1
