,Augmentation Methods,GAN,Data Type,Data Transformation,Classifiers,Improvement in Accuracy
0,smote,True,raw,normal,MLP,-0.0921
1,smote,True,raw,normal,logisticRegression,-0.3026
2,smote,True,raw,normal,decisionTree,0.0029
3,smote,True,raw,normal,randomForest,0.0117
4,smote,True,raw,normal,xgb,0.0059
5,smote,True,raw,oneW,MLP,-0.0973
6,smote,True,raw,oneW,logisticRegression,-0.2256
7,smote,True,raw,oneW,decisionTree,-0.1638
8,smote,True,raw,oneW,randomForest,-0.0664
9,smote,True,raw,oneW,xgb,-0.031
10,smote,True,pca,normal,MLP,-0.0877
11,smote,True,pca,normal,logisticRegression,-0.174
12,smote,True,pca,normal,decisionTree,-0.0761
13,smote,True,pca,normal,randomForest,-0.1184
14,smote,True,pca,normal,xgb,-0.1228
15,smote,True,pca,oneW,MLP,-0.0929
16,smote,True,pca,oneW,logisticRegression,-0.0132
17,smote,True,pca,oneW,decisionTree,0.0221
18,smote,True,pca,oneW,randomForest,-0.0045
19,smote,True,pca,oneW,xgb,-0.0442
20,smote,True,umap,normal,MLP,-0.0512
21,smote,True,umap,normal,logisticRegression,-0.0936
22,smote,True,umap,normal,decisionTree,0.0029
23,smote,True,umap,normal,randomForest,-0.0132
24,smote,True,umap,normal,xgb,0.0556
25,smote,True,umap,oneW,MLP,0.2522
26,smote,True,umap,oneW,logisticRegression,-0.0089
27,smote,True,umap,oneW,decisionTree,0.0752
28,smote,True,umap,oneW,randomForest,0.0177
29,smote,True,umap,oneW,xgb,0.062
30,smote,True,pca_umap,normal,MLP,-0.1521
31,smote,True,pca_umap,normal,logisticRegression,-0.2134
32,smote,True,pca_umap,normal,decisionTree,-0.057
33,smote,True,pca_umap,normal,randomForest,-0.0936
34,smote,True,pca_umap,normal,xgb,-0.0833
35,smote,True,pca_umap,oneW,MLP,0.2256
36,smote,True,pca_umap,oneW,logisticRegression,0.2124
37,smote,True,pca_umap,oneW,decisionTree,0.1681
38,smote,True,pca_umap,oneW,randomForest,0.2168
39,smote,True,pca_umap,oneW,xgb,0.0885
40,smote,False,raw,normal,MLP,0.0643
41,smote,False,raw,normal,logisticRegression,0.0234
42,smote,False,raw,normal,decisionTree,0.0438
43,smote,False,raw,normal,randomForest,0.0644
44,smote,False,raw,normal,xgb,0.0205
45,smote,False,raw,oneW,MLP,0.0133
46,smote,False,raw,oneW,logisticRegression,0.0089
47,smote,False,raw,oneW,decisionTree,0.0
48,smote,False,raw,oneW,randomForest,-0.0089
49,smote,False,raw,oneW,xgb,0.0663
50,smote,False,pca,normal,MLP,0.0775
51,smote,False,pca,normal,logisticRegression,0.0234
52,smote,False,pca,normal,decisionTree,0.0146
53,smote,False,pca,normal,randomForest,0.0029
54,smote,False,pca,normal,xgb,-0.0102
55,smote,False,pca,oneW,MLP,0.0442
56,smote,False,pca,oneW,logisticRegression,0.0133
57,smote,False,pca,oneW,decisionTree,0.1062
58,smote,False,pca,oneW,randomForest,0.0354
59,smote,False,pca,oneW,xgb,0.031
60,smote,False,umap,normal,MLP,0.1637
61,smote,False,umap,normal,logisticRegression,0.0277
62,smote,False,umap,normal,decisionTree,0.1842
63,smote,False,umap,normal,randomForest,0.2149
64,smote,False,umap,normal,xgb,0.2456
65,smote,False,umap,oneW,MLP,0.2522
66,smote,False,umap,oneW,logisticRegression,0.1194
67,smote,False,umap,oneW,decisionTree,0.0531
68,smote,False,umap,oneW,randomForest,-0.146
69,smote,False,umap,oneW,xgb,-0.1416
70,smote,False,pca_umap,normal,MLP,-0.1755
71,smote,False,pca_umap,normal,logisticRegression,-0.0511
72,smote,False,pca_umap,normal,decisionTree,-0.0497
73,smote,False,pca_umap,normal,randomForest,-0.0482
74,smote,False,pca_umap,normal,xgb,-0.0482
75,smote,False,pca_umap,oneW,MLP,0.1106
76,smote,False,pca_umap,oneW,logisticRegression,0.1548
77,smote,False,pca_umap,oneW,decisionTree,-0.0045
78,smote,False,pca_umap,oneW,randomForest,0.0266
79,smote,False,pca_umap,oneW,xgb,-0.0974
80,editNN,True,raw,normal,MLP,-0.0278
81,editNN,True,raw,normal,logisticRegression,-0.3128
82,editNN,True,raw,normal,decisionTree,-0.0293
83,editNN,True,raw,normal,randomForest,0.0351
84,editNN,True,raw,normal,xgb,-0.0219
85,editNN,True,raw,oneW,MLP,-0.0708
86,editNN,True,raw,oneW,logisticRegression,-0.3053
87,editNN,True,raw,oneW,decisionTree,-0.1239
88,editNN,True,raw,oneW,randomForest,-0.0841
89,editNN,True,raw,oneW,xgb,-0.0974
90,editNN,True,pca,normal,MLP,0.0409
91,editNN,True,pca,normal,logisticRegression,-0.0117
92,editNN,True,pca,normal,decisionTree,-0.0468
93,editNN,True,pca,normal,randomForest,-0.0702
94,editNN,True,pca,normal,xgb,-0.0701
95,editNN,True,pca,oneW,MLP,0.0442
96,editNN,True,pca,oneW,logisticRegression,0.031
97,editNN,True,pca,oneW,decisionTree,-0.0177
98,editNN,True,pca,oneW,randomForest,-0.031
99,editNN,True,pca,oneW,xgb,-0.0353
100,editNN,True,umap,normal,MLP,-0.0205
101,editNN,True,umap,normal,logisticRegression,0.0599
102,editNN,True,umap,normal,decisionTree,0.2032
103,editNN,True,umap,normal,randomForest,0.133
104,editNN,True,umap,normal,xgb,0.0424
105,editNN,True,umap,oneW,MLP,0.1991
106,editNN,True,umap,oneW,logisticRegression,0.1637
107,editNN,True,umap,oneW,decisionTree,0.1062
108,editNN,True,umap,oneW,randomForest,0.0663
109,editNN,True,umap,oneW,xgb,0.0443
110,editNN,True,pca_umap,normal,MLP,-0.1565
111,editNN,True,pca_umap,normal,logisticRegression,-0.1052
112,editNN,True,pca_umap,normal,decisionTree,-0.0511
113,editNN,True,pca_umap,normal,randomForest,-0.0307
114,editNN,True,pca_umap,normal,xgb,0.0278
115,editNN,True,pca_umap,oneW,MLP,0.1637
116,editNN,True,pca_umap,oneW,logisticRegression,0.2655
117,editNN,True,pca_umap,oneW,decisionTree,0.0398
118,editNN,True,pca_umap,oneW,randomForest,0.0
119,editNN,True,pca_umap,oneW,xgb,-0.031
120,editNN,False,raw,normal,MLP,-0.003
121,editNN,False,raw,normal,logisticRegression,-0.0453
122,editNN,False,raw,normal,decisionTree,-0.0614
123,editNN,False,raw,normal,randomForest,-0.0263
124,editNN,False,raw,normal,xgb,-0.0394
125,editNN,False,raw,oneW,MLP,0.031
126,editNN,False,raw,oneW,logisticRegression,-0.0398
127,editNN,False,raw,oneW,decisionTree,-0.0443
128,editNN,False,raw,oneW,randomForest,-0.0133
129,editNN,False,raw,oneW,xgb,0.0265
130,editNN,False,pca,normal,MLP,-0.0731
131,editNN,False,pca,normal,logisticRegression,-0.0892
132,editNN,False,pca,normal,decisionTree,-0.1316
133,editNN,False,pca,normal,randomForest,-0.1535
134,editNN,False,pca,normal,xgb,-0.1812
135,editNN,False,pca,oneW,MLP,-0.1372
136,editNN,False,pca,oneW,logisticRegression,-0.1371
137,editNN,False,pca,oneW,decisionTree,-0.0663
138,editNN,False,pca,oneW,randomForest,-0.1195
139,editNN,False,pca,oneW,xgb,-0.146
140,editNN,False,umap,normal,MLP,-0.1375
141,editNN,False,umap,normal,logisticRegression,-0.2003
142,editNN,False,umap,normal,decisionTree,-0.1419
143,editNN,False,umap,normal,randomForest,-0.1097
144,editNN,False,umap,normal,xgb,-0.0775
145,editNN,False,umap,oneW,MLP,0.2123
146,editNN,False,umap,oneW,logisticRegression,0.1416
147,editNN,False,umap,oneW,decisionTree,-0.0885
148,editNN,False,umap,oneW,randomForest,-0.0531
149,editNN,False,umap,oneW,xgb,0.0
150,editNN,False,pca_umap,normal,MLP,-0.3699
151,editNN,False,pca_umap,normal,logisticRegression,-0.3552
152,editNN,False,pca_umap,normal,decisionTree,-0.2631
153,editNN,False,pca_umap,normal,randomForest,-0.3129
154,editNN,False,pca_umap,normal,xgb,-0.2865
155,editNN,False,pca_umap,oneW,MLP,0.1504
156,editNN,False,pca_umap,oneW,logisticRegression,0.1195
157,editNN,False,pca_umap,oneW,decisionTree,0.0929
158,editNN,False,pca_umap,oneW,randomForest,0.208
159,editNN,False,pca_umap,oneW,xgb,0.0796
160,tomkLink,True,raw,normal,MLP,0.0672
161,tomkLink,True,raw,normal,logisticRegression,0.0147
162,tomkLink,True,raw,normal,decisionTree,-0.0088
163,tomkLink,True,raw,normal,randomForest,-0.0424
164,tomkLink,True,raw,normal,xgb,0.0015
165,tomkLink,True,raw,oneW,MLP,-0.1283
166,tomkLink,True,raw,oneW,logisticRegression,-0.0486
167,tomkLink,True,raw,oneW,decisionTree,-0.031
168,tomkLink,True,raw,oneW,randomForest,-0.1416
169,tomkLink,True,raw,oneW,xgb,-0.0885
170,tomkLink,True,pca,normal,MLP,-0.1067
171,tomkLink,True,pca,normal,logisticRegression,-0.2179
172,tomkLink,True,pca,normal,decisionTree,-0.0834
173,tomkLink,True,pca,normal,randomForest,-0.1199
174,tomkLink,True,pca,normal,xgb,-0.1725
175,tomkLink,True,pca,oneW,MLP,-0.0841
176,tomkLink,True,pca,oneW,logisticRegression,-0.0353
177,tomkLink,True,pca,oneW,decisionTree,0.0177
178,tomkLink,True,pca,oneW,randomForest,-0.0443
179,tomkLink,True,pca,oneW,xgb,-0.0442
180,tomkLink,True,umap,normal,MLP,-0.1155
181,tomkLink,True,umap,normal,logisticRegression,-0.0644
182,tomkLink,True,umap,normal,decisionTree,0.0394
183,tomkLink,True,umap,normal,randomForest,0.0175
184,tomkLink,True,umap,normal,xgb,0.0044
185,tomkLink,True,umap,oneW,MLP,0.0929
186,tomkLink,True,umap,oneW,logisticRegression,0.0885
187,tomkLink,True,umap,oneW,decisionTree,-0.0575
188,tomkLink,True,umap,oneW,randomForest,-0.1283
189,tomkLink,True,umap,oneW,xgb,-0.1194
190,tomkLink,True,pca_umap,normal,MLP,-0.2223
191,tomkLink,True,pca_umap,normal,logisticRegression,-0.247
192,tomkLink,True,pca_umap,normal,decisionTree,-0.133
193,tomkLink,True,pca_umap,normal,randomForest,-0.1462
194,tomkLink,True,pca_umap,normal,xgb,-0.1739
195,tomkLink,True,pca_umap,oneW,MLP,0.1283
196,tomkLink,True,pca_umap,oneW,logisticRegression,0.0442
197,tomkLink,True,pca_umap,oneW,decisionTree,0.1327
198,tomkLink,True,pca_umap,oneW,randomForest,0.177
199,tomkLink,True,pca_umap,oneW,xgb,-0.0089
200,tomkLink,False,raw,normal,MLP,0.0087
201,tomkLink,False,raw,normal,logisticRegression,-0.0117
202,tomkLink,False,raw,normal,decisionTree,-0.0263
203,tomkLink,False,raw,normal,randomForest,0.0132
204,tomkLink,False,raw,normal,xgb,-0.0146
205,tomkLink,False,raw,oneW,MLP,0.0266
206,tomkLink,False,raw,oneW,logisticRegression,-0.0398
207,tomkLink,False,raw,oneW,decisionTree,-0.0576
208,tomkLink,False,raw,oneW,randomForest,-0.0133
209,tomkLink,False,raw,oneW,xgb,0.0486
210,tomkLink,False,pca,normal,MLP,-0.0117
211,tomkLink,False,pca,normal,logisticRegression,0.0131
212,tomkLink,False,pca,normal,decisionTree,0.0292
213,tomkLink,False,pca,normal,randomForest,-0.0117
214,tomkLink,False,pca,normal,xgb,-0.0321
215,tomkLink,False,pca,oneW,MLP,-0.0133
216,tomkLink,False,pca,oneW,logisticRegression,0.031
217,tomkLink,False,pca,oneW,decisionTree,0.0398
218,tomkLink,False,pca,oneW,randomForest,0.0132
219,tomkLink,False,pca,oneW,xgb,0.0045
220,tomkLink,False,umap,normal,MLP,-0.098
221,tomkLink,False,umap,normal,logisticRegression,-0.022
222,tomkLink,False,umap,normal,decisionTree,-0.0161
223,tomkLink,False,umap,normal,randomForest,0.0117
224,tomkLink,False,umap,normal,xgb,0.079
225,tomkLink,False,umap,oneW,MLP,0.0752
226,tomkLink,False,umap,oneW,logisticRegression,-0.0708
227,tomkLink,False,umap,oneW,decisionTree,-0.0664
228,tomkLink,False,umap,oneW,randomForest,-0.0576
229,tomkLink,False,umap,oneW,xgb,-0.0088
230,tomkLink,False,pca_umap,normal,MLP,-0.2091
231,tomkLink,False,pca_umap,normal,logisticRegression,-0.171
232,tomkLink,False,pca_umap,normal,decisionTree,-0.0234
233,tomkLink,False,pca_umap,normal,randomForest,-0.0716
234,tomkLink,False,pca_umap,normal,xgb,-0.0482
235,tomkLink,False,pca_umap,oneW,MLP,0.23
236,tomkLink,False,pca_umap,oneW,logisticRegression,0.2832
237,tomkLink,False,pca_umap,oneW,decisionTree,0.1991
238,tomkLink,False,pca_umap,oneW,randomForest,0.2212
239,tomkLink,False,pca_umap,oneW,xgb,0.1017
240,smoteNN,True,raw,normal,MLP,0.0336
241,smoteNN,True,raw,normal,logisticRegression,-0.2061
242,smoteNN,True,raw,normal,decisionTree,-0.0088
243,smoteNN,True,raw,normal,randomForest,0.0293
244,smoteNN,True,raw,normal,xgb,0.0
245,smoteNN,True,raw,oneW,MLP,-0.1504
246,smoteNN,True,raw,oneW,logisticRegression,-0.2123
247,smoteNN,True,raw,oneW,decisionTree,-0.2832
248,smoteNN,True,raw,oneW,randomForest,-0.1903
249,smoteNN,True,raw,oneW,xgb,-0.2124
250,smoteNN,True,pca,normal,MLP,0.0526
251,smoteNN,True,pca,normal,logisticRegression,-0.1228
252,smoteNN,True,pca,normal,decisionTree,-0.0132
253,smoteNN,True,pca,normal,randomForest,-0.0833
254,smoteNN,True,pca,normal,xgb,-0.0511
255,smoteNN,True,pca,oneW,MLP,-0.0575
256,smoteNN,True,pca,oneW,logisticRegression,-0.0265
257,smoteNN,True,pca,oneW,decisionTree,-0.0044
258,smoteNN,True,pca,oneW,randomForest,-0.0398
259,smoteNN,True,pca,oneW,xgb,-0.0265
260,smoteNN,True,umap,normal,MLP,0.0044
261,smoteNN,True,umap,normal,logisticRegression,-0.0234
262,smoteNN,True,umap,normal,decisionTree,0.1067
263,smoteNN,True,umap,normal,randomForest,0.0716
264,smoteNN,True,umap,normal,xgb,0.1447
265,smoteNN,True,umap,oneW,MLP,0.1371
266,smoteNN,True,umap,oneW,logisticRegression,-0.0398
267,smoteNN,True,umap,oneW,decisionTree,0.0221
268,smoteNN,True,umap,oneW,randomForest,-0.0487
269,smoteNN,True,umap,oneW,xgb,0.0133
270,smoteNN,True,pca_umap,normal,MLP,-0.1053
271,smoteNN,True,pca_umap,normal,logisticRegression,-0.1023
272,smoteNN,True,pca_umap,normal,decisionTree,-0.0658
273,smoteNN,True,pca_umap,normal,randomForest,-0.0073
274,smoteNN,True,pca_umap,normal,xgb,-0.0365
275,smoteNN,True,pca_umap,oneW,MLP,0.1061
276,smoteNN,True,pca_umap,oneW,logisticRegression,0.2699
277,smoteNN,True,pca_umap,oneW,decisionTree,0.0177
278,smoteNN,True,pca_umap,oneW,randomForest,0.0133
279,smoteNN,True,pca_umap,oneW,xgb,-0.0708
280,smoteNN,False,raw,normal,MLP,0.0058
281,smoteNN,False,raw,normal,logisticRegression,-0.0277
282,smoteNN,False,raw,normal,decisionTree,-0.038
283,smoteNN,False,raw,normal,randomForest,-0.0175
284,smoteNN,False,raw,normal,xgb,-0.0087
285,smoteNN,False,raw,oneW,MLP,-0.0133
286,smoteNN,False,raw,oneW,logisticRegression,0.0133
287,smoteNN,False,raw,oneW,decisionTree,-0.0266
288,smoteNN,False,raw,oneW,randomForest,-0.0177
289,smoteNN,False,raw,oneW,xgb,0.0177
290,smoteNN,False,pca,normal,MLP,-0.1506
291,smoteNN,False,pca,normal,logisticRegression,-0.1638
292,smoteNN,False,pca,normal,decisionTree,-0.1506
293,smoteNN,False,pca,normal,randomForest,-0.2091
294,smoteNN,False,pca,normal,xgb,-0.1959
295,smoteNN,False,pca,oneW,MLP,0.0575
296,smoteNN,False,pca,oneW,logisticRegression,0.1062
297,smoteNN,False,pca,oneW,decisionTree,0.1062
298,smoteNN,False,pca,oneW,randomForest,0.0663
299,smoteNN,False,pca,oneW,xgb,0.0797
300,smoteNN,False,umap,normal,MLP,0.1096
301,smoteNN,False,umap,normal,logisticRegression,0.019
302,smoteNN,False,umap,normal,decisionTree,0.1242
303,smoteNN,False,umap,normal,randomForest,0.1286
304,smoteNN,False,umap,normal,xgb,0.1521
305,smoteNN,False,umap,oneW,MLP,-0.0576
306,smoteNN,False,umap,oneW,logisticRegression,0.1416
307,smoteNN,False,umap,oneW,decisionTree,0.1062
308,smoteNN,False,umap,oneW,randomForest,0.0885
309,smoteNN,False,umap,oneW,xgb,0.0974
310,smoteNN,False,pca_umap,normal,MLP,-0.0468
311,smoteNN,False,pca_umap,normal,logisticRegression,-0.1944
312,smoteNN,False,pca_umap,normal,decisionTree,0.0936
313,smoteNN,False,pca_umap,normal,randomForest,0.0863
314,smoteNN,False,pca_umap,normal,xgb,0.0293
315,smoteNN,False,pca_umap,oneW,MLP,-0.0133
316,smoteNN,False,pca_umap,oneW,logisticRegression,0.0973
317,smoteNN,False,pca_umap,oneW,decisionTree,0.0265
318,smoteNN,False,pca_umap,oneW,randomForest,0.1504
319,smoteNN,False,pca_umap,oneW,xgb,0.0486
320,smoteTomek,True,raw,normal,MLP,0.0365
321,smoteTomek,True,raw,normal,logisticRegression,-0.383
322,smoteTomek,True,raw,normal,decisionTree,-0.0117
323,smoteTomek,True,raw,normal,randomForest,-0.0307
324,smoteTomek,True,raw,normal,xgb,-0.0467
325,smoteTomek,True,raw,oneW,MLP,-0.2964
326,smoteTomek,True,raw,oneW,logisticRegression,-0.2035
327,smoteTomek,True,raw,oneW,decisionTree,-0.0664
328,smoteTomek,True,raw,oneW,randomForest,-0.3319
329,smoteTomek,True,raw,oneW,xgb,-0.3275
330,smoteTomek,True,pca,normal,MLP,-0.0205
331,smoteTomek,True,pca,normal,logisticRegression,-0.1301
332,smoteTomek,True,pca,normal,decisionTree,-0.1097
333,smoteTomek,True,pca,normal,randomForest,-0.1257
334,smoteTomek,True,pca,normal,xgb,-0.1286
335,smoteTomek,True,pca,oneW,MLP,-0.0221
336,smoteTomek,True,pca,oneW,logisticRegression,-0.084
337,smoteTomek,True,pca,oneW,decisionTree,0.0531
338,smoteTomek,True,pca,oneW,randomForest,-0.0443
339,smoteTomek,True,pca,oneW,xgb,-0.0442
340,smoteTomek,True,umap,normal,MLP,-0.0278
341,smoteTomek,True,umap,normal,logisticRegression,0.0131
342,smoteTomek,True,umap,normal,decisionTree,0.0321
343,smoteTomek,True,umap,normal,randomForest,0.0541
344,smoteTomek,True,umap,normal,xgb,0.0687
345,smoteTomek,True,umap,oneW,MLP,0.0885
346,smoteTomek,True,umap,oneW,logisticRegression,-0.0221
347,smoteTomek,True,umap,oneW,decisionTree,-0.1416
348,smoteTomek,True,umap,oneW,randomForest,-0.1239
349,smoteTomek,True,umap,oneW,xgb,-0.0354
350,smoteTomek,True,pca_umap,normal,MLP,-0.2515
351,smoteTomek,True,pca_umap,normal,logisticRegression,-0.1973
352,smoteTomek,True,pca_umap,normal,decisionTree,-0.0658
353,smoteTomek,True,pca_umap,normal,randomForest,-0.1491
354,smoteTomek,True,pca_umap,normal,xgb,-0.1154
355,smoteTomek,True,pca_umap,oneW,MLP,0.115
356,smoteTomek,True,pca_umap,oneW,logisticRegression,0.146
357,smoteTomek,True,pca_umap,oneW,decisionTree,-0.0885
358,smoteTomek,True,pca_umap,oneW,randomForest,-0.0531
359,smoteTomek,True,pca_umap,oneW,xgb,-0.0133
360,smoteTomek,False,raw,normal,MLP,0.0424
361,smoteTomek,False,raw,normal,logisticRegression,0.0293
362,smoteTomek,False,raw,normal,decisionTree,0.0234
363,smoteTomek,False,raw,normal,randomForest,0.0571
364,smoteTomek,False,raw,normal,xgb,0.0147
365,smoteTomek,False,raw,oneW,MLP,0.0443
366,smoteTomek,False,raw,oneW,logisticRegression,0.0045
367,smoteTomek,False,raw,oneW,decisionTree,0.0088
368,smoteTomek,False,raw,oneW,randomForest,0.0221
369,smoteTomek,False,raw,oneW,xgb,0.0531
370,smoteTomek,False,pca,normal,MLP,0.0599
371,smoteTomek,False,pca,normal,logisticRegression,0.0278
372,smoteTomek,False,pca,normal,decisionTree,0.016
373,smoteTomek,False,pca,normal,randomForest,0.0117
374,smoteTomek,False,pca,normal,xgb,-0.0043
375,smoteTomek,False,pca,oneW,MLP,-0.0531
376,smoteTomek,False,pca,oneW,logisticRegression,-0.0752
377,smoteTomek,False,pca,oneW,decisionTree,0.0354
378,smoteTomek,False,pca,oneW,randomForest,-0.0045
379,smoteTomek,False,pca,oneW,xgb,-0.0221
380,smoteTomek,False,umap,normal,MLP,0.114
381,smoteTomek,False,umap,normal,logisticRegression,0.019
382,smoteTomek,False,umap,normal,decisionTree,0.1652
383,smoteTomek,False,umap,normal,randomForest,0.2076
384,smoteTomek,False,umap,normal,xgb,0.2515
385,smoteTomek,False,umap,oneW,MLP,0.2522
386,smoteTomek,False,umap,oneW,logisticRegression,-0.0487
387,smoteTomek,False,umap,oneW,decisionTree,-0.0797
388,smoteTomek,False,umap,oneW,randomForest,-0.2213
389,smoteTomek,False,umap,oneW,xgb,-0.1858
390,smoteTomek,False,pca_umap,normal,MLP,-0.1228
391,smoteTomek,False,pca_umap,normal,logisticRegression,-0.1564
392,smoteTomek,False,pca_umap,normal,decisionTree,-0.0277
393,smoteTomek,False,pca_umap,normal,randomForest,-0.0175
394,smoteTomek,False,pca_umap,normal,xgb,-0.0014
395,smoteTomek,False,pca_umap,oneW,MLP,0.1238
396,smoteTomek,False,pca_umap,oneW,logisticRegression,0.115
397,smoteTomek,False,pca_umap,oneW,decisionTree,0.0
398,smoteTomek,False,pca_umap,oneW,randomForest,0.0
399,smoteTomek,False,pca_umap,oneW,xgb,-0.1106
