,Unnamed: 0,Data Type,Data Transformation,X_train Size,X_test Size,Classifiers,Training Accuracy,Accuracy,Weighted F1,Cohen Kappa,Data Augmentation Methods,GAN,seed
0,0,raw,,"(1044, 44)","(684, 44)",naive,0.5,0.6915,0.8176,0.0,,False,1
1,1,raw,,"(1044, 44)","(684, 44)",MLP,0.7328,0.6594,0.6489,0.3576,,False,1
2,2,raw,,"(1044, 44)","(684, 44)",logisticRegression,0.7308,0.6944,0.6828,0.3861,,False,1
3,3,raw,,"(1044, 44)","(684, 44)",decisionTree,0.7395,0.6813,0.6691,0.359,,False,1
4,4,raw,,"(1044, 44)","(684, 44)",randomForest,0.7634,0.6564,0.6446,0.3395,,False,1
5,5,raw,,"(1044, 44)","(684, 44)",xgb,0.818,0.6827,0.6713,0.3835,,False,1
6,6,pca,,"(1044, 10)","(684, 10)",naive,0.5,0.6915,0.8176,0.0,,False,1
7,7,pca,,"(1044, 10)","(684, 10)",MLP,0.7174,0.6082,0.5955,0.2556,,False,1
8,8,pca,,"(1044, 10)","(684, 10)",logisticRegression,0.7088,0.6316,0.6175,0.2557,,False,1
9,9,pca,,"(1044, 10)","(684, 10)",decisionTree,0.7404,0.6404,0.6266,0.2767,,False,1
10,10,pca,,"(1044, 10)","(684, 10)",randomForest,0.8295,0.6769,0.6658,0.3187,,False,1
11,11,pca,,"(1044, 10)","(684, 10)",xgb,0.7826,0.6754,0.6631,0.3531,,False,1
12,12,umap,,"(1044, 2)","(684, 2)",naive,0.5,0.6915,0.8176,0.0,,False,1
13,13,umap,,"(1044, 2)","(684, 2)",MLP,0.7146,0.4971,0.486,0.0797,,False,1
14,14,umap,,"(1044, 2)","(684, 2)",logisticRegression,0.5105,0.5015,0.4842,0.0416,,False,1
15,15,umap,,"(1044, 2)","(684, 2)",decisionTree,0.7251,0.4708,0.4679,0.0678,,False,1
16,16,umap,,"(1044, 2)","(684, 2)",randomForest,0.75,0.443,0.4648,0.0797,,False,1
17,17,umap,,"(1044, 2)","(684, 2)",xgb,0.7931,0.4342,0.4286,-0.0055,,False,1
18,18,pca_umap,,"(1044, 2)","(684, 2)",naive,0.5,0.6915,0.8176,0.0,,False,1
19,19,pca_umap,,"(1044, 2)","(684, 2)",MLP,0.6916,0.6667,0.6605,0.2521,,False,1
20,20,pca_umap,,"(1044, 2)","(684, 2)",logisticRegression,0.5795,0.6827,0.6728,0.3198,,False,1
21,21,pca_umap,,"(1044, 2)","(684, 2)",decisionTree,0.7672,0.6023,0.5877,0.2213,,False,1
22,22,pca_umap,,"(1044, 2)","(684, 2)",randomForest,0.7902,0.6038,0.5905,0.2432,,False,1
23,23,pca_umap,,"(1044, 2)","(684, 2)",xgb,0.772,0.5789,0.5672,0.215,,False,1
24,24,raw,oneW,"(360, 100)","(226, 100)",naive,0.5,0.6549,0.7914,0.0,,False,1
25,25,raw,oneW,"(360, 100)","(226, 100)",MLP,0.7361,0.6637,0.6554,0.3256,,False,1
26,26,raw,oneW,"(360, 100)","(226, 100)",logisticRegression,0.75,0.6858,0.6781,0.3717,,False,1
27,27,raw,oneW,"(360, 100)","(226, 100)",decisionTree,0.75,0.6903,0.6826,0.3788,,False,1
28,28,raw,oneW,"(360, 100)","(226, 100)",randomForest,0.8833,0.708,0.701,0.4238,,False,1
29,29,raw,oneW,"(360, 100)","(226, 100)",xgb,0.8472,0.6726,0.6645,0.3469,,False,1
30,30,pca,oneW,"(360, 10)","(226, 10)",naive,0.5,0.6549,0.7914,0.0,,False,1
31,31,pca,oneW,"(360, 10)","(226, 10)",MLP,0.8,0.5354,0.5244,0.0858,,False,1
32,32,pca,oneW,"(360, 10)","(226, 10)",logisticRegression,0.7056,0.5088,0.4968,0.0123,,False,1
33,33,pca,oneW,"(360, 10)","(226, 10)",decisionTree,0.625,0.4867,0.4986,0.095,,False,1
34,34,pca,oneW,"(360, 10)","(226, 10)",randomForest,0.7667,0.531,0.5196,0.0696,,False,1
35,35,pca,oneW,"(360, 10)","(226, 10)",xgb,0.8444,0.5265,0.5149,0.0531,,False,1
36,36,umap,oneW,"(360, 2)","(226, 2)",naive,0.5,0.6549,0.7914,0.0,,False,1
37,37,umap,oneW,"(360, 2)","(226, 2)",MLP,0.575,0.4027,0.3921,-0.1385,,False,1
38,38,umap,oneW,"(360, 2)","(226, 2)",logisticRegression,0.5639,0.5133,0.5019,0.0449,,False,1
39,39,umap,oneW,"(360, 2)","(226, 2)",decisionTree,0.7333,0.5487,0.5413,0.0422,,False,1
40,40,umap,oneW,"(360, 2)","(226, 2)",randomForest,0.8111,0.5664,0.5664,0.0407,,False,1
41,41,umap,oneW,"(360, 2)","(226, 2)",xgb,0.7611,0.5575,0.5589,0.0152,,False,1
42,42,pca_umap,oneW,"(360, 2)","(226, 2)",naive,0.5,0.6549,0.7914,0.0,,False,1
43,43,pca_umap,oneW,"(360, 2)","(226, 2)",MLP,0.5917,0.4027,0.3989,-0.1039,,False,1
44,44,pca_umap,oneW,"(360, 2)","(226, 2)",logisticRegression,0.55,0.3717,0.4493,-0.0192,,False,1
45,45,pca_umap,oneW,"(360, 2)","(226, 2)",decisionTree,0.825,0.4558,0.455,0.0043,,False,1
46,46,pca_umap,oneW,"(360, 2)","(226, 2)",randomForest,0.7528,0.4115,0.414,-0.066,,False,1
47,47,pca_umap,oneW,"(360, 2)","(226, 2)",xgb,0.8056,0.531,0.5195,0.0542,,False,1
0,0,raw,,"(2184, 48)","(684, 48)",naive,0.5,0.6915,0.8176,0.0,smote,False,1
1,1,raw,,"(2184, 48)","(684, 48)",MLP,0.842,0.7237,0.7228,0.3566,smote,False,1
2,2,raw,,"(2184, 48)","(684, 48)",logisticRegression,0.7747,0.7178,0.7101,0.3847,smote,False,1
3,3,raw,,"(2184, 48)","(684, 48)",decisionTree,0.794,0.7251,0.7211,0.377,smote,False,1
4,4,raw,,"(2184, 48)","(684, 48)",randomForest,0.8654,0.7208,0.7162,0.3695,smote,False,1
5,5,raw,,"(2184, 48)","(684, 48)",xgb,0.9625,0.7032,0.6999,0.3213,smote,False,1
6,6,raw,,"(6552, 59)","(684, 59)",naive,0.5,0.6915,0.8176,0.0,smote,True,1
7,7,raw,,"(6552, 59)","(684, 59)",MLP,0.9957,0.5673,0.5508,0.1393,smote,True,1
8,8,raw,,"(6552, 59)","(684, 59)",logisticRegression,0.8498,0.3918,0.4591,0.0571,smote,True,1
9,9,raw,,"(6552, 59)","(684, 59)",decisionTree,0.9603,0.6842,0.7744,0.0342,smote,True,1
10,10,raw,,"(6552, 59)","(684, 59)",randomForest,0.9832,0.6681,0.6627,0.2507,smote,True,1
11,11,raw,,"(6552, 59)","(684, 59)",xgb,0.9805,0.6886,0.7587,0.0806,smote,True,1
12,12,raw,,"(1044, 43)","(684, 43)",naive,0.5,0.6915,0.8176,0.0,editNN,False,1
13,13,raw,,"(1044, 43)","(684, 43)",MLP,0.8975,0.6564,0.6462,0.3548,editNN,False,1
14,14,raw,,"(1044, 43)","(684, 43)",logisticRegression,0.8812,0.6491,0.6397,0.3486,editNN,False,1
15,15,raw,,"(1044, 43)","(684, 43)",decisionTree,0.8803,0.6199,0.6136,0.3143,editNN,False,1
16,16,raw,,"(1044, 43)","(684, 43)",randomForest,0.9195,0.6301,0.6229,0.328,editNN,False,1
17,17,raw,,"(1044, 43)","(684, 43)",xgb,0.9818,0.6433,0.6327,0.3308,editNN,False,1
18,18,raw,,"(3132, 54)","(684, 54)",naive,0.5,0.6915,0.8176,0.0,editNN,True,1
19,19,raw,,"(3132, 54)","(684, 54)",MLP,0.9278,0.6316,0.6184,0.2863,editNN,True,1
20,20,raw,,"(3132, 54)","(684, 54)",logisticRegression,0.9221,0.3816,0.42,0.0023,editNN,True,1
21,21,raw,,"(3132, 54)","(684, 54)",decisionTree,0.9748,0.652,0.6689,0.1197,editNN,True,1
22,22,raw,,"(3132, 54)","(684, 54)",randomForest,0.9719,0.6915,0.6854,0.3104,editNN,True,1
23,23,raw,,"(3132, 54)","(684, 54)",xgb,0.9974,0.6608,0.648,0.3269,editNN,True,1
24,24,raw,,"(1044, 44)","(684, 44)",naive,0.5,0.6915,0.8176,0.0,tomkLink,False,1
25,25,raw,,"(1044, 44)","(684, 44)",MLP,0.7672,0.6681,0.6567,0.362,tomkLink,False,1
26,26,raw,,"(1044, 44)","(684, 44)",logisticRegression,0.7567,0.6827,0.671,0.378,tomkLink,False,1
27,27,raw,,"(1044, 44)","(684, 44)",decisionTree,0.7423,0.655,0.6422,0.3243,tomkLink,False,1
28,28,raw,,"(1044, 44)","(684, 44)",randomForest,0.8611,0.6696,0.6579,0.3614,tomkLink,False,1
29,29,raw,,"(1044, 44)","(684, 44)",xgb,0.8276,0.6681,0.6563,0.3578,tomkLink,False,1
30,30,raw,,"(3132, 52)","(684, 52)",naive,0.5,0.6915,0.8176,0.0,tomkLink,True,1
31,31,raw,,"(3132, 52)","(684, 52)",MLP,0.8365,0.7266,0.7295,0.3463,tomkLink,True,1
32,32,raw,,"(3132, 52)","(684, 52)",logisticRegression,0.8324,0.7091,0.7478,0.1968,tomkLink,True,1
33,33,raw,,"(3132, 52)","(684, 52)",decisionTree,0.9569,0.6725,0.6697,0.2463,tomkLink,True,1
34,34,raw,,"(3132, 52)","(684, 52)",randomForest,0.9566,0.614,0.601,0.262,tomkLink,True,1
35,35,raw,,"(3132, 52)","(684, 52)",xgb,0.9815,0.6842,0.6798,0.2824,tomkLink,True,1
36,36,raw,,"(1058, 48)","(684, 48)",naive,0.5,0.6915,0.8176,0.0,smoteNN,False,1
37,37,raw,,"(1058, 48)","(684, 48)",MLP,0.9376,0.6652,0.653,0.3479,smoteNN,False,1
38,38,raw,,"(1058, 48)","(684, 48)",logisticRegression,0.9272,0.6667,0.6544,0.3472,smoteNN,False,1
39,39,raw,,"(1058, 48)","(684, 48)",decisionTree,0.9603,0.6433,0.6297,0.2825,smoteNN,False,1
40,40,raw,,"(1058, 48)","(684, 48)",randomForest,0.9461,0.6389,0.6287,0.3261,smoteNN,False,1
41,41,raw,,"(1058, 48)","(684, 48)",xgb,0.9991,0.674,0.6617,0.3552,smoteNN,False,1
42,42,raw,,"(3174, 57)","(684, 57)",naive,0.5,0.6915,0.8176,0.0,smoteNN,True,1
43,43,raw,,"(3174, 57)","(684, 57)",MLP,0.994,0.693,0.8145,0.0101,smoteNN,True,1
44,44,raw,,"(3174, 57)","(684, 57)",logisticRegression,0.9521,0.4883,0.4707,0.0173,smoteNN,True,1
45,45,raw,,"(3174, 57)","(684, 57)",decisionTree,0.9842,0.6725,0.6639,0.2832,smoteNN,True,1
46,46,raw,,"(3174, 57)","(684, 57)",randomForest,0.9846,0.6857,0.7598,0.0658,smoteNN,True,1
47,47,raw,,"(3174, 57)","(684, 57)",xgb,1.0,0.6827,0.7216,0.1322,smoteNN,True,1
48,48,raw,,"(2082, 48)","(684, 48)",naive,0.5,0.6915,0.8176,0.0,smoteTomek,False,1
49,49,raw,,"(2082, 48)","(684, 48)",MLP,0.8948,0.7018,0.7156,0.2476,smoteTomek,False,1
50,50,raw,,"(2082, 48)","(684, 48)",logisticRegression,0.7829,0.7237,0.7169,0.3915,smoteTomek,False,1
51,51,raw,,"(2082, 48)","(684, 48)",decisionTree,0.8338,0.7047,0.7018,0.322,smoteTomek,False,1
52,52,raw,,"(2082, 48)","(684, 48)",randomForest,0.9289,0.7135,0.7086,0.3538,smoteTomek,False,1
53,53,raw,,"(2082, 48)","(684, 48)",xgb,0.9649,0.6974,0.694,0.3079,smoteTomek,False,1
54,54,raw,,"(6246, 52)","(684, 52)",naive,0.5,0.6915,0.8176,0.0,smoteTomek,True,1
55,55,raw,,"(6246, 52)","(684, 52)",MLP,0.9533,0.6959,0.8017,0.0403,smoteTomek,True,1
56,56,raw,,"(6246, 52)","(684, 52)",logisticRegression,0.8575,0.3114,0.4712,0.0026,smoteTomek,True,1
57,57,raw,,"(6246, 52)","(684, 52)",decisionTree,0.9673,0.6696,0.6719,0.2153,smoteTomek,True,1
58,58,raw,,"(6246, 52)","(684, 52)",randomForest,0.9872,0.6257,0.6161,0.1788,smoteTomek,True,1
59,59,raw,,"(6246, 52)","(684, 52)",xgb,0.9821,0.636,0.6224,0.2847,smoteTomek,True,1
60,60,raw,oneW,"(638, 100)","(226, 100)",naive,0.5,0.6549,0.7914,0.0,smote,False,1
61,61,raw,oneW,"(638, 100)","(226, 100)",MLP,0.9624,0.677,0.6808,0.2699,smote,False,1
62,62,raw,oneW,"(638, 100)","(226, 100)",logisticRegression,0.768,0.6947,0.6872,0.3927,smote,False,1
63,63,raw,oneW,"(638, 100)","(226, 100)",decisionTree,0.7633,0.6903,0.6826,0.3788,smote,False,1
64,64,raw,oneW,"(638, 100)","(226, 100)",randomForest,0.9608,0.6991,0.6921,0.383,smote,False,1
65,65,raw,oneW,"(638, 100)","(226, 100)",xgb,1.0,0.7389,0.7354,0.4411,smote,False,1
66,66,raw,oneW,"(1914, 10)","(226, 10)",naive,0.5,0.6549,0.7914,0.0,smote,True,1
67,67,raw,oneW,"(1914, 10)","(226, 10)",MLP,0.7712,0.5664,0.6193,-0.0993,smote,True,1
68,68,raw,oneW,"(1914, 10)","(226, 10)",logisticRegression,0.7398,0.4602,0.4925,0.0836,smote,True,1
69,69,raw,oneW,"(1914, 10)","(226, 10)",decisionTree,0.9394,0.5265,0.5152,0.0373,smote,True,1
70,70,raw,oneW,"(1914, 10)","(226, 10)",randomForest,0.9749,0.6416,0.7566,-0.0104,smote,True,1
71,71,raw,oneW,"(1914, 10)","(226, 10)",xgb,0.9916,0.6416,0.7566,-0.0104,smote,True,1
72,72,raw,oneW,"(192, 100)","(226, 100)",naive,0.5,0.6549,0.7914,0.0,editNN,False,1
73,73,raw,oneW,"(192, 100)","(226, 100)",MLP,0.8646,0.6947,0.6882,0.365,editNN,False,1
74,74,raw,oneW,"(192, 100)","(226, 100)",logisticRegression,0.8542,0.646,0.6374,0.2978,editNN,False,1
75,75,raw,oneW,"(192, 100)","(226, 100)",decisionTree,0.8438,0.646,0.638,0.27,editNN,False,1
76,76,raw,oneW,"(192, 100)","(226, 100)",randomForest,0.9479,0.6947,0.6889,0.415,editNN,False,1
77,77,raw,oneW,"(192, 100)","(226, 100)",xgb,1.0,0.6991,0.6918,0.4031,editNN,False,1
78,78,raw,oneW,"(576, 13)","(226, 13)",naive,0.5,0.6549,0.7914,0.0,editNN,True,1
79,79,raw,oneW,"(576, 13)","(226, 13)",MLP,0.75,0.5929,0.61,0.0413,editNN,True,1
80,80,raw,oneW,"(576, 13)","(226, 13)",logisticRegression,0.7587,0.3805,0.4823,0.017,editNN,True,1
81,81,raw,oneW,"(576, 13)","(226, 13)",decisionTree,0.9375,0.5664,0.5593,0.0798,editNN,True,1
82,82,raw,oneW,"(576, 13)","(226, 13)",randomForest,0.9444,0.6239,0.6223,0.1755,editNN,True,1
83,83,raw,oneW,"(576, 13)","(226, 13)",xgb,1.0,0.5752,0.569,0.0933,editNN,True,1
84,84,raw,oneW,"(360, 100)","(226, 100)",naive,0.5,0.6549,0.7914,0.0,tomkLink,False,1
85,85,raw,oneW,"(360, 100)","(226, 100)",MLP,0.8833,0.6903,0.6842,0.405,tomkLink,False,1
86,86,raw,oneW,"(360, 100)","(226, 100)",logisticRegression,0.7472,0.646,0.6419,0.3374,tomkLink,False,1
87,87,raw,oneW,"(360, 100)","(226, 100)",decisionTree,0.7167,0.6327,0.6296,0.3178,tomkLink,False,1
88,88,raw,oneW,"(360, 100)","(226, 100)",randomForest,0.8444,0.6947,0.6875,0.3993,tomkLink,False,1
89,89,raw,oneW,"(360, 100)","(226, 100)",xgb,1.0,0.7212,0.7144,0.4425,tomkLink,False,1
90,90,raw,oneW,"(1080, 11)","(226, 11)",naive,0.5,0.6549,0.7914,0.0,tomkLink,True,1
91,91,raw,oneW,"(1080, 11)","(226, 11)",MLP,0.7861,0.5354,0.5489,-0.0768,tomkLink,True,1
92,92,raw,oneW,"(1080, 11)","(226, 11)",logisticRegression,0.763,0.6372,0.6452,0.167,tomkLink,True,1
93,93,raw,oneW,"(1080, 11)","(226, 11)",decisionTree,0.9333,0.6593,0.6609,0.2394,tomkLink,True,1
94,94,raw,oneW,"(1080, 11)","(226, 11)",randomForest,0.9389,0.5664,0.5651,0.0465,tomkLink,True,1
95,95,raw,oneW,"(1080, 11)","(226, 11)",xgb,0.9944,0.5841,0.5829,0.0854,tomkLink,True,1
96,96,raw,oneW,"(166, 100)","(226, 100)",naive,0.5,0.6549,0.7914,0.0,smoteNN,False,1
97,97,raw,oneW,"(166, 100)","(226, 100)",MLP,0.9518,0.6504,0.645,0.256,smoteNN,False,1
98,98,raw,oneW,"(166, 100)","(226, 100)",logisticRegression,0.9518,0.6991,0.6942,0.3615,smoteNN,False,1
99,99,raw,oneW,"(166, 100)","(226, 100)",decisionTree,0.9036,0.6637,0.6637,0.2561,smoteNN,False,1
100,100,raw,oneW,"(166, 100)","(226, 100)",randomForest,0.9819,0.6903,0.6864,0.335,smoteNN,False,1
101,101,raw,oneW,"(166, 100)","(226, 100)",xgb,1.0,0.6903,0.6864,0.335,smoteNN,False,1
102,102,raw,oneW,"(498, 9)","(226, 9)",naive,0.5,0.6549,0.7914,0.0,smoteNN,True,1
103,103,raw,oneW,"(498, 9)","(226, 9)",MLP,0.8092,0.5133,0.5176,0.1249,smoteNN,True,1
104,104,raw,oneW,"(498, 9)","(226, 9)",logisticRegression,0.7851,0.4735,0.4827,0.0648,smoteNN,True,1
105,105,raw,oneW,"(498, 9)","(226, 9)",decisionTree,0.9518,0.4071,0.4598,0.0164,smoteNN,True,1
106,106,raw,oneW,"(498, 9)","(226, 9)",randomForest,0.988,0.5177,0.5158,0.1132,smoteNN,True,1
107,107,raw,oneW,"(498, 9)","(226, 9)",xgb,1.0,0.4602,0.4686,0.0389,smoteNN,True,1
108,108,raw,oneW,"(552, 100)","(226, 100)",naive,0.5,0.6549,0.7914,0.0,smoteTomek,False,1
109,109,raw,oneW,"(552, 100)","(226, 100)",MLP,0.9348,0.708,0.712,0.3379,smoteTomek,False,1
110,110,raw,oneW,"(552, 100)","(226, 100)",logisticRegression,0.7862,0.6903,0.6827,0.3856,smoteTomek,False,1
111,111,raw,oneW,"(552, 100)","(226, 100)",decisionTree,0.9239,0.6991,0.6921,0.383,smoteTomek,False,1
112,112,raw,oneW,"(552, 100)","(226, 100)",randomForest,0.9601,0.7301,0.7251,0.4322,smoteTomek,False,1
113,113,raw,oneW,"(552, 100)","(226, 100)",xgb,1.0,0.7257,0.7212,0.4178,smoteTomek,False,1
114,114,raw,oneW,"(1656, 10)","(226, 10)",naive,0.5,0.6549,0.7914,0.0,smoteTomek,True,1
115,115,raw,oneW,"(1656, 10)","(226, 10)",MLP,0.7283,0.3673,0.4478,-0.0241,smoteTomek,True,1
116,116,raw,oneW,"(1656, 10)","(226, 10)",logisticRegression,0.7319,0.4823,0.4714,-0.0767,smoteTomek,True,1
117,117,raw,oneW,"(1656, 10)","(226, 10)",decisionTree,0.9529,0.6239,0.7308,-0.0441,smoteTomek,True,1
118,118,raw,oneW,"(1656, 10)","(226, 10)",randomForest,0.9819,0.3761,0.493,0.0207,smoteTomek,True,1
119,119,raw,oneW,"(1656, 10)","(226, 10)",xgb,0.9988,0.3451,0.5055,-0.0042,smoteTomek,True,1
120,120,pca,,"(2184, 10)","(684, 10)",naive,0.5,0.6915,0.8176,0.0,smote,False,1
121,121,pca,,"(2184, 10)","(684, 10)",MLP,0.8091,0.6857,0.6797,0.2956,smote,False,1
122,122,pca,,"(2184, 10)","(684, 10)",logisticRegression,0.7276,0.655,0.642,0.3168,smote,False,1
123,123,pca,,"(2184, 10)","(684, 10)",decisionTree,0.826,0.655,0.6569,0.1827,smote,False,1
124,124,pca,,"(2184, 10)","(684, 10)",randomForest,0.929,0.6798,0.6705,0.3069,smote,False,1
125,125,pca,,"(2184, 10)","(684, 10)",xgb,0.9538,0.6652,0.6594,0.246,smote,False,1
126,126,pca,,"(6552, 10)","(684, 10)",naive,0.5,0.6915,0.8176,0.0,smote,True,1
127,127,pca,,"(6552, 10)","(684, 10)",MLP,0.9838,0.5205,0.5238,-0.1389,smote,True,1
128,128,pca,,"(6552, 10)","(684, 10)",logisticRegression,0.8187,0.4576,0.4409,-0.0229,smote,True,1
129,129,pca,,"(6552, 10)","(684, 10)",decisionTree,0.9704,0.5643,0.5494,0.0802,smote,True,1
130,130,pca,,"(6552, 10)","(684, 10)",randomForest,0.9966,0.5585,0.5523,-0.0033,smote,True,1
131,131,pca,,"(6552, 10)","(684, 10)",xgb,0.975,0.5526,0.5488,-0.0297,smote,True,1
